Day,Week,Date,Module,Module Text,Topics,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day11,Week6,17-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Multiple Linear Regression and Feature Selection (StepAIC & VIF),Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Sreerama Murthy,4.2,Dr. Kishore Konda,3.36,Dr. Dakshinamurthy Kolluru,3.36,['Linear Regression'],"{'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 10.080000000000002, 'Dr. Kishore Konda': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 4.2, 'Dr. Anand Narasimhamurthy': 3.2}"
Day12,Week6,23-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Logistic Regression & Naive Bayes Classifier,Dr. Sridhar Pappu,Dr. Sridhar Pappu,20.16,Dr. Anand Jayaraman,16.8,Dr. Surya Kompalli,13.44,Dr. Sreerama Murthy,8.4,Dr. Manoj Duse,6.4,"['Logistic Regression', ' Naive Bayes']","{'Dr. Sridhar Pappu': 20.160000000000004, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Anand Jayaraman': 16.800000000000004, 'Dr. Manoj Duse': 6.4, 'Dr. Surya Kompalli': 13.440000000000003, 'Dr. Sreerama Murthy': 8.4, 'Dr. Anand Narasimhamurthy': 6.4}"
Day13,Week7,24-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,PCA & Regularization,Dr. Sridhar Pappu,Dr. Sridhar Pappu,20.16,Dr. Anand Jayaraman,20.16,Dr. Sreerama Murthy,8.4,Dr. Surya Kompalli,6.72,Dr. Manoj Duse,6.4,"['PCA', ' Regularization']","{'Dr. Sridhar Pappu': 20.160000000000004, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Anand Jayaraman': 20.160000000000004, 'Dr. Manoj Duse': 6.4, 'Dr. Surya Kompalli': 6.720000000000001, 'Dr. Sreerama Murthy': 8.4, 'Dr. Anand Narasimhamurthy': 6.4}"
Day14,Week7,30-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Time Series,Dr. Sridhar Pappu,Dr. Sridhar Pappu,10.08,Dr. Anand Jayaraman,10.08,Dr. Sreerama Murthy,4.2,,,,,['Time Series'],"{'Dr. Sreerama Murthy': 4.2, 'Dr. Sridhar Pappu': 10.080000000000002, 'Dr. Anand Jayaraman': 10.080000000000002}"
Day15,Week8,31-03-2019,CUTe,CSE 7302c,,,,,,,,,,,,,,
Day16,Week8,06-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,"Introduction to Unsupervised Methods, Distance Metrics, Clustering (Hierarchical & Kmeans)",Dr. Surya Kompalli,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,['Clustering'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 3.2, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day17,Week9,07-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Association Rules (Apriori) and Decision Trees (CART & C50),Dr. Surya Kompalli,Dr. Surya Kompalli,16.8,Dr. Sridhar Pappu,13.44,Dr. Anand Jayaraman,13.44,Dr. Manish Gupta,12.6,Dr. Sreerama Murthy,12.6,"['Decision Trees', ' Association Rules']","{'Dr. Praphul Chandra': 9.600000000000003, 'Dr. Sridhar Pappu': 13.440000000000003, 'Dr. Rohit Lotlikar': 6.4, 'Dr. Anand Jayaraman': 13.440000000000003, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 6.720000000000001, 'Dr. Manish Gupta': 12.600000000000003, 'Dr. Surya Kompalli': 16.800000000000004, 'Dr. Sreerama Murthy': 12.600000000000003, 'Dr. Anand Narasimhamurthy': 4.800000000000001}"
Day18,Week9,13-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,KNN & Collaborative Filtering,Dr. Surya Kompalli,Dr. Anand Jayaraman,6.72,Dr. Surya Kompalli,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,['KNN & Collabrative Filtering'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day19,Week10,14-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Ensemble techniques: Bagging (RF) & Boosting (GBM),Dr. Surya Kompalli,Dr. Surya Kompalli,10.08,Dr. Anand Jayaraman,6.72,Dr. Manish Gupta,6.3,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,['Ensembles Bagging (RF) & Boosting (GBM)'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 6.7200000000000015, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day20,Week10,20-04-2019,CSE 7305c,Methods and Algorithms in Machine Learning,SVM and Summary on Architecting ML Solutions,Dr. Surya Kompalli,Dr. Anand Jayaraman,13.44,Dr. Surya Kompalli,13.44,Dr. Manish Gupta,12.6,Dr. Sreerama Murthy,12.6,Dr. Praphul Chandra,9.6,"['SVM', ' Architecting ML Solutions']","{'Dr. Praphul Chandra': 9.600000000000003, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Anand Jayaraman': 13.440000000000003, 'Dr. Manoj Duse': 8.000000000000002, 'Dr. Dakshinamurthy Kolluru': 6.720000000000001, 'Dr. Manish Gupta': 12.600000000000003, 'Dr. Surya Kompalli': 13.440000000000003, 'Dr. Sreerama Murthy': 12.600000000000003, 'Dr. Anand Narasimhamurthy': 3.2}"
Day21,Week11,21-04-2019,CUTe,CSE 7305c,,,,,,,,,,,,,,
Day22,Week11,27-04-2019,CSE 7124c,Foundations of Text Mining and Search,"Text Mining - TF-IDF, Matrix Factorization (SVD)",Dr. Kishore Konda,Dr. Kishore Konda,6.72,Dr. Manish Gupta,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Sreerama Murthy,4.2,"['Text Mining - TF-IDF, Matrix Factorization (SVD)']","{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Kishore Konda': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Sreerama Murthy': 4.2, 'Dr. Anand Narasimhamurthy': 1.6}"
Day23,Week12,28-04-2019,CSE 7124c,Foundations of Text Mining and Search,"Text Mining – Page Rank, Text Classification & Sentiment Analysis",Dr. Kishore Konda,Dr. Kishore Konda,6.72,Dr. Surya Kompalli,6.72,Dr. Manish Gupta,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,"['Text Mining - Page Rank, Text Classification & Sentiment Analysis']","{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Kishore Konda': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Manish Gupta': 6.300000000000002, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2}"
Day24,Week12,04-05-2019,CSE 7120c,The Art and Science of Storytelling with Data Visualizations,Art and Science of Data Visualization,Dr. Anand Lakshmanan,Dr. Sridhar Pappu,6.72,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,Dr. Anand Lakshmanan,3,Dr. Manoj Duse,1.6,['Art and Science of Data Visualisation'],"{'Dr. Anand Lakshmanan': 3.0, 'Dr. Sridhar Pappu': 6.7200000000000015, 'Dr. Manoj Duse': 1.6, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 4.2}"
Day25,Week13,05-05-2019,LAB DAY,CSE 7120c,,,,,,,,,,,,,,
Day26,Week13,11-05-2019,CSE 7321c – AI,AI and Decision Sciences,ANN,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Sreerama Murthy,6.3,Dr. Rohit Lotlikar,4.8,Dr. Dakshinamurthy Kolluru,3.36,['ANN'],"{'Dr. Rohit Lotlikar': 4.800000000000002, 'Dr. Manoj Duse': 3.2, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day27,Week14,12-05-2019,MiTH,Scholarship Exam,,,,,,,,,,,,,,
Day28,Week14,18-05-2019,MiTH,Scholarship Exam,,,,,,,,,,,,,,
Day29,Week15,19-05-2019,CSE 7321c – AI,AI and Decision Sciences,Deep Learning,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Dakshinamurthy Kolluru,3.36,Dr. Surya Kompalli,3.36,['Deep Learning'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 3.3600000000000003, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day30,Week15,25-05-2019,CSE 7321c – AI,AI and Decision Sciences,CNN,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Dakshinamurthy Kolluru,3.36,Dr. Surya Kompalli,3.36,['CNN'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 3.3600000000000003, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day31,Week16,26-05-2019,CSE 7321c – AI,AI and Decision Sciences,RNN & LSTM,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Dakshinamurthy Kolluru,3.36,,,['RNN & LSTM'],"{'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Kishore Konda': 10.080000000000002}"
Day32,Week16,01-06-2019,CSE 7321c,AI and Decision Sciences,Linear Programming,Dr. Surya Kompalli,Dr. Surya Kompalli,6.72,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Kishore Konda,3.36,['Linear Programming'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Kishore Konda': 3.3600000000000003, 'Dr. Anand Jayaraman': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 3.2}"
Day33,Week17,02-06-2019,CSE 7321c,AI and Decision Sciences,Monte Carlo Simulations & Genetic Algorithm,Dr. Surya Kompalli,Dr. Kishore Konda,6.72,Dr. Surya Kompalli,6.72,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,['Monte Carlo Simulations & Genetic Algorithm'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Kishore Konda': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Anand Narasimhamurthy': 1.6}"
Day34,Week17,08-06-2019,CUTe,CSE 7321c,,,,,,,,,,,,,,
Day35,Week18,09-06-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Surya Kompalli,Dr. Surya Kompalli,6.72,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,['Big Data'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2}"
Day36,Week18,15-06-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Surya Kompalli,Dr. Surya Kompalli,6.72,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,['Big Data'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2}"
Day37,Week19,16-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day38,Week19,22-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day39,Week20,23-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day40,Week20,29-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day41,Week21,30-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day42,Week21,06-07-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day43,Week22,07-07-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day44,Week22,13-07-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day45,Week23,14-07-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day46,Week23,20-07-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day47,Week24,21-07-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day48,Week24,27-07-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
